Nome;hp;tipo;nivel;TMs
Bulbasaur;45;Grama;5;45,53,75
Ivysaur;60;Grama;5;45,53,75
Venusaur;80;Grama;5;45,53,75
Charmander;39;Fogo;5;38,50,61
Charmeleon;58;Fogo;5;38,50,61
Charizard;78;Fogo;5;38,50,61
Squirtle;44;Água;5;55,89,94
Wartortle;59;Água;5;55,89,94
Blastoise;79;Água;5;55,89,94
Caterpie;45;Inseto;5;17
Metapod;50;Inseto;5;17
Butterfree;60;Inseto;5;17,76,94
Weedle;40;Inseto;5;17
Kakuna;45;Inseto;5;17
Beedrill;65;Inseto;5;17,76,94
Pidgey;40;Normal;5;40,89,76
Pidgeotto;63;Normal;5;40,89,76
Pidgeot;83;Normal;5;40,89,76
Rattata;30;Normal;5;40,85,87
Raticate;55;Normal;5;40,85,87
Spearow;40;Normal;5;40,85,89
Fearow;65;Normal;5;40,85,89
Ekans;35;Veneno;5;06,84,97
Arbok;60;Veneno;5;06,84,97
Pikachu;35;Elétrico;5;24,25,87
Raichu;60;Elétrico;5;24,25,87
Sandshrew;50;Terra;5;28,37,76
Sandslash;75;Terra;5;28,37,76
Nidoran♀;55;Veneno;5;06,45,84
Nidorina;70;Veneno;5;06,45,84
Nidoqueen;90;Veneno;5;06,45,84
Nidoran♂;46;Veneno;5;06,45,84
Nidorino;61;Veneno;5;06,45,84
Nidoking;81;Veneno;5;06,45,84
Clefairy;70;Fada;5;21,35,94
Clefable;95;Fada;5;21,35,94
Vulpix;38;Fogo;5;38,50,61
Ninetales;73;Fogo;5;38,50,61
Jigglypuff;115;Normal;5;21,31,94
Wigglytuff;140;Normal;5;21,31,94
Zubat;40;Veneno;5;19,40,89
Golbat;75;Veneno;5;19,40,89
Oddish;45;Grama;5;36,53,75
Gloom;60;Grama;5;36,53,75
Vileplume;75;Grama;5;36,53,75
Paras;35;Inseto;5;06,53,94
Parasect;60;Inseto;5;06,53,94
Venonat;60;Inseto;5;06,53,94
Venomoth;70;Inseto;5;06,53,94
Diglett;10;Terra;5;28,37,76
Dugtrio;35;Terra;5;28,37,76
Meowth;40;Normal;5;85,87,94
Persian;65;Normal;5;85,87,94
Psyduck;50;Água;5;55,89,94
Golduck;80;Água;5;55,89,94
Mankey;40;Lutador;5;31,39,52
Primeape;65;Lutador;5;31,39,52
Growlithe;55;Fogo;5;38,50,61
Arcanine;90;Fogo;5;38,50,61
Poliwag;40;Água;5;55,89,94
Poliwhirl;65;Água;5;55,89,94
Poliwrath;90;Água;5;55,89,94
Abra;25;Psíquico;5;29,33,94
Kadabra;40;Psíquico;5;29,33,94
Alakazam;55;Psíquico;5;29,33,94
Machop;70;Lutador;5;31,39,52
Machoke;80;Lutador;5;31,39,52
Machamp;90;Lutador;5;31,39,52
Bellsprout;50;Grama;5;36,53,75
Weepinbell;65;Grama;5;36,53,75
Victreebel;80;Grama;5;36,53,75
Tentacool;40;Água;5;55,89,94
Tentacruel;80;Água;5;55,89,94
Geodude;40;Pedra;5;28,37,76
Graveler;55;Pedra;5;28,37,76
Golem;80;Pedra;5;28,37,76
Ponyta;50;Fogo;5;38,50,61
Rapidash;65;Fogo;5;38,50,61
Slowpoke;90;Água;5;55,89,94
Slowbro;95;Água;5;55,89,94
Magnemite;25;Elétrico;5;24,25,87
Magneton;50;Elétrico;5;24,25,87
Farfetch'd;52;Normal;5;40,85,87
Doduo;35;Normal;5;40,85,87
Dodrio;60;Normal;5;40,85,87
Seel;65;Água;5;55,89,94
Dewgong;90;Água;5;55,89,94
Grimer;80;Veneno;5;06,84,97
Muk;105;Veneno;5;06,84,97
Shellder;30;Água;5;55,89,94
Cloyster;50;Água;5;55,89,94
Gastly;30;Fantasma;5;29,41,94
Haunter;45;Fantasma;5;29,41,94
Gengar;60;Fantasma;5;29,41,94
Onix;35;Pedra;5;28,37,76
Drowzee;60;Psíquico;5;29,33,94
Hypno;85;Psíquico;5;29,33,94
Krabby;30;Água;5;55,89,94
Kingler;55;Água;5;55,89,94
Voltorb;40;Elétrico;5;24,25,87
Electrode;60;Elétrico;5;24,25,87
Exeggcute;60;Grama;5;36,53,75
Exeggutor;95;Grama;5;36,53,75
Cubone;50;Terra;5;28,37,76
Marowak;60;Terra;5;28,37,76
Hitmonlee;50;Lutador;5;31,39,52
Hitmonchan;50;Lutador;5;31,39,52
Lickitung;90;Normal;5;21,31,94
Koffing;40;Veneno;5;06,84,97
Weezing;65;Veneno;5;06,84,97
Rhyhorn;80;Terra;5;28,37,76
Rhydon;105;Terra;5;28,37,76
Chansey;250;Normal;5;21,31,94
Tangela;65;Grama;5;36,53,75
Kangaskhan;105;Normal;5;21,31,94
Horsea;30;Água;5;55,89,94
Seadra;55;Água;5;55,89,94
Goldeen;45;Água;5;55,89,94
Seaking;80;Água;5;55,89,94
Staryu;30;Água;5;55,89,94
Starmie;60;Água;5;55,89,94
Mr.Mime;40;Psíquico;5;29,33,94
Scyther;70;Inseto;5;06,53,94
Jynx;65;Gelo;5;13,51,94
Electabuzz;65;Elétrico;5;24,25,87
Magmar;65;Fogo;5;38,50,61
Pinsir;65;Inseto;5;06,53,94
Tauros;75;Normal;5;40,85,87
Magikarp;20;Água;5;55,89,94
Gyarados;95;Água;5;55,89,94
